  capacity,JAN,  capacity,FEB,  capacity,MAR,  capacity,APR,  capacity,MAY,  capacity,JUN,  capacity,JUL,  capacity,AUG,  capacity,SEP,  capacity,OCT,  capacity,NOV,  capacity,DEC
0.044907246,82.96,0.062870144,113.36,2.389065476,4301.47,12.00819753,21650.73,25.21990924,45478.69,30.32137236,54673.91,34.05765521,61408.75,26.41444198,47635.16,10.01431581,18061.03,5.083500224,9159.76,0.269443475,490.94,0.053888695,78.75
0.053888695,61.22,0.071851593,82.92,2.622583155,3702.97,13.21171171,18631.12,27.74369645,39136.84,33.35710218,47049.25,37.46162445,52844.55,29.06396948,40990.68,11.02023812,15542.81,5.586461377,7883.71,0.296387822,423.19,0.062870144,55.91
0.062870144,40.19,0.080833042,61.66,2.865082282,3140.804717,14.40624445,15837.29,30.26748367,33267.06,36.38385055,39994.65,40.86559368,44920.66,31.70451553,34845.06,12.01717898,13212.87,6.098403979,6699.300531,0.32333217,358.41,0.071851593,39.015
0.071851593,19.18,0.089814492,40.42,3.09859996,2599.48,15.60975864,13084.64,32.79127088,27485.9,39.41958036,33044.07,44.26956291,37113.62,34.34506159,28788.02,13.02310128,10915.23,6.601365132,5535.69,0.350276517,296.65,0.080833042,22.14
0.080833042,6.36,0.098795941,26.85,3.341099087,2056.698679,16.81327283,10375.4,35.3150581,21795.87,42.44632873,26203.07,47.68251359,29429.64,36.98560764,22828.48,14.02004214,8655.83,7.113307735,4390.79,0.377220865,235.86,0.089814492,6.76
0.089814492,0,0.10777739,14.815,3.574616766,1534.04,18.00780557,7719.21,37.82986386,16215.3,45.48205854,19494.08,51.08648282,21896.18,39.62615369,16983.68,15.02596444,6440.69,7.616268887,3266.34,0.413146661,162.3050459,0.098795941,0
,,0.116758839,2.8,3.817115893,1018.41,19.21131975,5127.46,40.35365107,10772.05,48.51778836,12949.76,54.49045205,14545.46,42.26669975,11282.61,16.0229053,4277.35,8.12821149,2169.16,0.440091009,107.1563304,,
,,0.125740288,0,4.05961502,614.6,20.41483394,3090.14,42.87743829,6493.21,51.54453673,7805.4,57.89442128,8767.2,44.9072458,6801.11,17.02882761,2578.31,8.640154092,1308.21,0.458053907,70.4,,
,,,,4.293132698,338.03,21.60936668,1701.04,45.4012255,3572.56,54.58026654,4295.22,61.29839052,4824.48,47.5567733,3742.17,18.03474991,1418.99,9.143115245,719.71,0.493979704,37.01857143,,
,,,,4.535631826,106.01,22.81288087,534.87,47.92501272,1123.34,57.61599636,1350.57,64.7113412,1516.99,50.19731935,1176.95,19.03169077,446.46,9.655057847,226.03,0.520924051,12,,
,,,,4.769149504,0,24.01639505,0,50.44879993,0,60.64274473,0,68.11531043,0,52.83786541,0,20.03761308,0,10.158019,0,0.547868399,0,,