date,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15
1921-10-31,69.15,10.92,38.7,-31.37,10.34,22.78,-5.47,0.99,66.93,-556.22
1921-11-30,33.7,5.68,24.58,-9.85,12.66,8.14,-3.55,4.96,47.21,10.38
1921-12-31,78.23,20.61,32.84,86.65,80.04,43.85,41.6,62.59,38.57,91.45
1922-01-31,16.51,3.76,23.95,35.68,1.02,22.49,5.19,19.64,31.9,54.75
1922-02-28,124.31,34.18,54.4,110.52,59.97,67.77,43.37,83.14,28.56,70.68
1922-03-31,-6.78,9.58,29.03,7.08,-5.24,8.86,2.11,26.09,26.61,73.42
1922-04-30,0.86,15.23,29.79,13.49,9.31,20.87,10.46,25.77,24.76,72.85
1922-05-31,-1.22,24.18,34.21,71.22,108.28,117.71,94.72,88.52,50.12,247.29
1922-06-30,-29.38,-4.54,25.05,18.52,22.37,31.41,40.47,50.21,71.17,214.06
1922-07-31,-40.66,-19.26,6.47,-55.15,-81.46,-105.85,-77.32,-20.09,48.92,45.22
1922-08-31,-25.66,-7.91,4.91,-47.26,-58.3,-55.38,-38.88,-31.02,41.65,36.88
1922-09-30,-8.2,1.49,9.34,-17.13,-27.52,-22.15,-17.3,-11.6,18.43,5.8
1922-10-31,10.98,7.46,12.63,-1.8,-7.48,-3.61,-5.98,-4.33,23.18,11.28
1922-11-30,37.21,10.4,16.55,15.2,7.04,15.07,8.33,3.02,17.17,26.38
1922-12-31,122.27,34.46,40.76,108.07,49.49,61.51,43,51.13,17.03,50.06
1923-01-31,23.4,7.39,31.34,45.35,-2.24,21.55,6.28,22.54,15.21,31.73
1923-02-28,-12.02,-1.68,16.59,-6.78,-3.91,-8.15,-5.76,13.91,14.36,29.95
1923-03-31,-15.04,5.5,15.7,-1.53,4.03,-10.79,-8.94,12.23,24.78,64.33
1923-04-30,28.24,23.2,31.87,58.36,67.76,46.52,40.01,58.51,15.96,97.28
1923-05-31,-25.53,-1.22,20.03,39.24,56.6,40.94,28.82,56.8,28.34,95.77
1923-06-30,-29.2,-4.63,13.34,-14.24,-31.91,-15.67,1.59,5.04,35.05,54.06
1923-07-31,-28.06,-3.42,8.54,-27.3,-38.75,-27.53,-9.77,0.85,40.8,52.8
1923-08-31,-18.41,1.44,7.47,-25.58,-35.93,-31.47,-23.46,-20.33,32.57,27.51
1923-09-30,-1.9,7.39,12.1,-2.72,-15.63,-10.54,-8.49,-3.59,10.9,14.64
1923-10-31,8.87,8.46,12.48,5.86,-4.39,12.22,5.17,2.19,15.3,19.41
1923-11-30,4.9,4.38,8.88,3.6,-7.26,-13.06,-11.03,-3.61,9.42,14.09
1923-12-31,7.33,3.76,9.38,5.4,-3.18,0.18,-5.04,-1.68,8.36,14.32
1924-01-31,17.62,5.69,10.23,8.79,4.22,1.78,-1.3,-0.61,10.87,24.12
1924-02-29,39.62,10.8,12.25,12.25,-0.36,-4.24,-3.33,-3.27,7.45,24.69
1924-03-31,-1.83,-1.42,7.61,6.55,18.9,-3.13,-1.56,5.51,13.27,48.55
1924-04-30,-3.87,-1.77,9.5,6.82,10.1,1.67,3.42,21.1,10.17,77.94
1924-05-31,-6.78,-5.36,9.42,6.86,20.94,3.2,9.4,31.96,20.98,66.06
1924-06-30,-0.67,-0.28,5.05,-7.77,-5.78,-0.26,-10.63,-13.31,31.2,39.76
1924-07-31,4.03,5.26,6.29,-7.26,13.72,3.48,-8.77,-0.67,33.09,53.35
1924-08-31,7.94,7.24,7,-2.03,18.36,5.25,-5.48,4.58,29,46.52
1924-09-30,12.31,10.46,9.82,9.61,4.12,3.94,-3.51,8.01,3.06,22.09
1924-10-31,28.48,17.18,15.29,18.94,6.82,6.36,0.3,6.5,9.94,27.46
1924-11-30,26.09,10.27,14.21,17.79,14.49,20.05,5.39,11.23,4.62,29.15
1924-12-31,58.4,14.17,19.93,39.04,15.53,24.41,12.59,14.6,4.51,47.05
1925-01-31,13.74,3.16,14.17,13.36,0.98,-8.1,-5.39,4.18,4.2,29.25
1925-02-28,221.09,39.16,41.33,101.7,43.97,48.76,17.87,43.97,4.66,47.67
1925-03-31,-55.04,0.44,18.19,2.98,-3.24,19.88,9.59,14.43,14.23,85.96
1925-04-30,-13.84,10.6,28.13,48.85,48.08,63.18,46,51.24,6.9,87.93
1925-05-31,-30.67,-2.35,22.52,50.96,61.28,63.75,56.36,63.93,13.92,94.77
1925-06-30,-41.7,-9.96,10.81,-18.58,-22.67,-38.51,-19.82,16.25,34.2,73.26
1925-07-31,-36.25,-4.73,5.72,-41.99,-49.96,-66.43,-38.39,-6.77,39.97,64.26
1925-08-31,-22.96,1.58,6.23,-27.03,-29.14,-29.82,-24.98,-9.87,32.38,51.78
1925-09-30,-6.6,7.78,10.09,-3.25,-15.08,-9.38,-8.19,1.14,2.57,17.87
1925-10-31,3.96,10.79,11.9,5.05,-1.14,8.1,0.76,6.12,9.66,27.39
1925-11-30,10.86,8.09,11,11.65,3.44,6.92,1.86,3.11,3.22,21.78
1925-12-31,9.51,7.39,11.79,13.96,4.18,12.29,4.81,5.29,2.64,26.26
1926-01-31,51.62,12.05,14.47,19.15,3.36,0.98,-2.44,0.4,2.98,23.84
1926-02-28,176.61,30.62,30.13,71.93,31.31,-3.17,9.03,24.09,2.93,41.17
1926-03-31,-50.69,-0.06,12.87,3.21,-6.92,17.47,-4.71,12.97,11.26,68.61
1926-04-30,47.23,20.51,27.99,65.95,90.86,58.56,52.19,86.27,6.56,113.44
1926-05-31,-63.01,-12.89,9.3,3.87,2.68,2.72,3.46,25.7,14.38,86.05
1926-06-30,-47.76,-11.71,3.36,-27.38,-41.64,-42.45,-21.37,-4.07,32.21,70.21
1926-07-31,-32.22,-0.6,5.55,-26.59,-30.24,-18.18,-19.38,-12.54,40.19,55.18
1926-08-31,-17.94,4.91,7.91,-12.79,-1.75,-6.53,-12.64,1.62,35.46,46.91
1926-09-30,-3.47,11.38,11.52,5.68,-3.8,0.35,-3,8.62,0.41,21.62
1926-10-31,9.25,11.6,12.42,10.54,-0.24,5.69,1.38,6.23,7.44,25.54
1926-11-30,136.47,41.45,29.73,59.28,39.79,21.13,20.35,39.84,5.1,118.87
1926-12-31,31.52,-2.22,13.34,11.67,-9.26,2.55,1.73,8.66,2.5,34.34
1927-01-31,44.51,19.78,23.77,39.78,3.12,13.03,0.65,14.04,1.97,36.12
1927-02-28,219.19,24.68,37.98,108.57,70.92,67.08,34.57,89.68,4.04,98.95
1927-03-31,-112.82,13.34,23.09,9.29,-8.45,16.65,2.5,17.41,5.87,67.15
1927-04-30,-15.16,14.46,30.58,31.45,28.53,35.14,15.66,38.19,4.95,82.25
1927-05-31,-61.86,-0.63,20.34,31.93,62.09,26.04,30.22,63.96,16.43,129.47
1927-06-30,-50.85,-7.01,18.82,5.67,5.63,16.54,24.55,33.1,32.71,81.89
1927-07-31,-44.47,-6.96,8.1,-46.19,-74.69,-77.42,-48.31,-20.92,45.17,47.32
1927-08-31,-28.79,1.31,8.56,-33.99,-42.79,-40.38,-24.35,-17.68,38.09,35.67
1927-09-30,-13.38,9.41,12.69,-7,-19.63,-21.13,-10.89,1.33,1.12,14.96
1927-10-31,3,10.84,14.65,7.7,2.04,2.16,2.19,5.28,5.54,25.6
1927-11-30,45.29,22.23,19.79,22.84,3.59,15,9.08,11.61,3.83,40.9
1927-12-31,36,9.39,16.95,24.06,5.41,3.51,8.55,7.6,2.1,30.43
1928-01-31,30.49,10.63,15.61,19.9,-2.9,-0.94,-5.82,6.84,1.64,31.85
1928-02-29,56.65,14.94,17.94,18.24,4.66,5.48,-2.76,11.04,1.37,33.21
1928-03-31,122.94,28.05,37.14,80.72,33.09,80.51,35.46,36.62,10.11,76.68
1928-04-30,-51.32,4.25,23.96,10.44,3.28,5.65,0.63,22.06,5.06,79.23
1928-05-31,-52.53,-8.03,17.31,9.63,37.06,10.78,13.12,47.71,13.29,88.6
1928-06-30,-38.31,-9.82,6.66,-28.6,-23.63,-45.11,-13.39,6.26,35.41,84.12
1928-07-31,-21.36,-0.13,8.22,-28.76,-25.48,-38.57,-23.15,-14.62,47.03,60.3
1928-08-31,-6.54,5.14,9.25,-14.3,0.71,-17.99,-11.34,5.61,37.44,51.75
1928-09-30,5.9,11.33,13.17,7.51,0.15,-3.56,1.03,10.89,-0.93,23.14
1928-10-31,10.18,11.62,13.64,8.75,-0.12,10.23,7.05,8.96,6.87,28.7
1928-11-30,24.89,12.94,17.57,22.85,7.73,10.24,6.81,7.17,0.22,30.29
1928-12-31,35.13,9.71,17.05,26.94,2.56,-2.35,-0.38,11.69,-0.09,33.49
1929-01-31,7.34,5.07,14.65,9.38,-6.84,-6.47,-10.25,1.73,-1.02,17.9
1929-02-28,34.47,11.47,16.55,13.58,0.41,-7.83,-4.87,3.82,-1.23,18.49
1929-03-31,10.27,9.65,15.05,14.27,9.89,-1.6,-2.47,19.17,4.68,49.32
1929-04-30,-3.03,4,19.12,12.24,9.61,-0.98,0.76,21.2,0.24,37.29
1929-05-31,-7.13,6.42,21.83,21.81,23.12,27.13,14.37,40.29,11.96,55.21
1929-06-30,-8.93,3.38,15.92,1.2,-7.48,1.01,0.22,12.31,28.72,46.26
1929-07-31,-9.44,2.69,9.45,-9.41,-0.42,-15.29,-3.76,8.68,45.72,55.91
1929-08-31,2.28,7.93,10.44,-1.55,10.72,-9.4,-3.63,10.51,36.81,61.85
1929-09-30,9.56,12.35,13.42,10.11,-8.26,-2.66,-0.57,6.07,-2.61,31.87
1929-10-31,11.98,12.7,13.7,8.58,-5.72,-1.23,-0.12,4.05,2.66,29.83
1929-11-30,8.79,8.02,13.55,13.39,-2.8,-2.75,-2.15,0.9,-1.56,26.7
1929-12-31,132.23,43.65,22.15,37.73,3.16,1.56,-1.42,4.06,-1.95,23.46
1930-01-31,44.15,9.01,20.61,38.08,15.23,15.07,5.34,12.97,-2.06,38.93
1930-02-28,28.74,9.3,16.23,12.48,1.84,-3.3,-3.86,7.4,-2.22,27.75
1930-03-31,59.63,13.87,19.2,24.48,8.75,17.92,0.54,18.92,3.17,53.58
1930-04-30,-34.05,3.18,15.68,16.17,14.37,21.17,4.82,27.11,0.25,49.63
1930-05-31,-35.62,-2.19,17.98,7.56,1.94,6.36,2.68,24.06,7.68,50.6
1930-06-30,-32.07,-3.1,14,2.68,2.81,16.3,18.81,24.62,32.06,52.21
1930-07-31,-22.81,1.79,11.57,-9.88,-5.51,-27.4,-5.4,7.52,44.14,57.73
1930-08-31,-11.15,7.25,12.71,-0.82,4.73,-17.34,-4.99,10.83,36.02,66.71
1930-09-30,1.65,13.11,17.5,15.26,-5.07,-7.78,-1.47,8.61,-3.09,33.88
1930-10-31,7.32,12.27,16.29,6.76,-13.44,-1.67,-6.61,3.22,0.76,33.82
1930-11-30,10.99,11.09,14.52,12.91,-0.58,-0.01,1.46,3.36,-1.95,31.32
1930-12-31,5.22,6.72,10.97,9.14,-7.71,3.58,-0.39,0.15,-2.37,27.56
1931-01-31,48.37,14.36,17.04,23.93,21.68,-2.79,3.93,16.3,-2.45,45.05
1931-02-28,3.4,5.49,13.37,6.22,-7.64,-9.73,-10.94,-1.48,-3.46,26.6
1931-03-31,12.38,9.63,12.53,8.18,-0.66,-12.16,-11.5,8.62,1.81,44.32
1931-04-30,-11.72,0.22,12.04,6.13,11.62,1.74,4.17,27.34,-1.12,45.68
1931-05-31,-8.28,-0.15,11.1,6.29,4.82,-3.06,2.15,24.28,5.08,47.31
1931-06-30,-1.87,3.86,10.14,-0.69,-1.35,-3.42,-5.67,3.36,13.99,43.54
1931-07-31,1.67,7.37,13.43,-0.01,15.65,-0.31,-5.93,10.08,40.83,74.34
1931-08-31,7.14,9.78,12.53,1.57,11.55,-0.14,-7.53,9.79,33.86,72.15
1931-09-30,13.34,14.43,13.68,11.53,-6.37,-1.49,-6.52,3.8,-5.56,36.58
1931-10-31,15.95,13.65,13.64,11.8,-2.86,0.06,-4.39,6.01,0.25,38.44
1931-11-30,17.86,12.29,14.35,18.19,7.45,6.02,1.96,9.07,-3.19,40.52
1931-12-31,148.75,34.5,31.45,106.67,82.49,37.25,42.92,102.32,-0.56,116.63
1932-01-31,36.82,3.5,19.71,25.43,-11.77,4.04,-2.91,29.77,-3.22,32.98
1932-02-29,4.19,8.06,29.91,63.56,35.92,65.37,39.13,95.37,-1.58,50.63
1932-03-31,3.34,20.35,22.25,8.98,-10.2,-5.75,-14.32,21.22,1.66,46.54
1932-04-30,-7.37,13.67,22.99,14.85,8.21,20.92,9.33,28.58,0.94,56.21
1932-05-31,0.15,14.53,23.99,46.03,43.51,68.98,39.03,55.49,11.05,83.67
1932-06-30,-14.52,-0.47,21.79,18.86,21.14,17.7,29.64,43.38,29.96,77.22
1932-07-31,-15.55,-2.9,12.76,-33.34,-52.99,-68.13,-34.57,-0.43,44.12,38.32
1932-08-31,-1.11,4.3,13.53,-29.23,-44.51,-47.11,-25.63,-10.4,33.69,34.15
1932-09-30,6.85,10.33,18.36,-0.11,-18.06,-26.2,-12.59,8.7,-2.25,25.12
1932-10-31,10.46,11.23,18.26,6.22,-5.44,-2.22,3.86,10.61,1.37,28.53
1932-11-30,11.67,8.63,15.97,8.25,-13.39,1.25,-2.26,-1.57,-1.19,25.06
1932-12-31,23.59,11.73,17.92,14.25,0.4,-0.08,-3.76,5.25,-1.72,26.81
1933-01-31,55.79,15.99,23.13,47.51,38.44,0.77,11.15,34.16,-0.88,117.76
1933-02-28,12.83,7.13,16.99,6.67,-14.39,-4.09,-11.6,0.14,-2.15,20.87
1933-03-31,36.86,22.35,22.88,18.94,6.01,-4.88,-4.22,19.3,2.83,49.07
1933-04-30,-0.32,7.52,19.39,10.94,10.29,0.9,7.87,29.97,0.8,48.15
1933-05-31,4.56,7.33,17.64,14.56,7.35,10.42,4.08,28.32,8.04,71.04
1933-06-30,-0.54,6.24,15.35,23.5,25.31,54.8,27.38,41.55,27.04,67.44
1933-07-31,-5.59,0.67,13.07,-13.37,-25.52,-31.94,-14.43,-4.41,41.57,39.11
1933-08-31,3.38,6.11,14.34,-5.92,-7.86,-19.33,-9.43,8.15,33.13,44.69
1933-09-30,9.87,12.78,17.12,12.44,-2.92,-4.99,-1.13,14.14,-2.6,30.52
1933-10-31,16.32,14.08,18.79,11.98,-12.06,-0.8,-2.87,2.69,0.71,31.62
1933-11-30,12.3,10.8,14.79,16.63,-6.01,-5.21,-4.8,2.02,-1.51,27.69
1933-12-31,97.06,29.88,29.43,56.37,27.58,18.13,18.43,23.21,-1.62,31.4
1934-01-31,32.05,10.16,21.19,19.92,-4.63,-17.51,-13.6,7.81,-2.36,25.9
1934-02-28,34.64,14.77,24.24,40.19,10.97,-1.03,0.68,20.18,-2.24,29.75
1934-03-31,-4.04,9.32,18.41,11,3.52,-13.09,-5.79,16.23,3.09,55.32
1934-04-30,-13.07,3.63,16.79,5.28,5.81,-1.68,5.49,25.66,0.81,53.04
1934-05-31,-13.39,-0.65,14.62,1.13,-10.14,-6.98,-2.02,14.88,3.27,45.56
1934-06-30,-8.49,2.92,12.06,-3.55,-3.27,-1.45,-4.19,5.87,20.24,46.67
1934-07-31,-2.73,7.67,15.21,-0.64,12.34,-1.93,-1.28,13.45,41.25,76.16
1934-08-31,3.8,10.14,15.26,3.36,12.44,-3.83,-7.26,10.19,32.16,69.21
1934-09-30,11.48,14.53,18.38,14.71,-6.39,-2.85,-7.95,9.25,-4.46,36.62
1934-10-31,15.84,15.03,19.85,14.66,-0.76,4.93,1.29,8.24,-1.13,35.8
1934-11-30,42.27,21.63,22.63,26.35,12.24,13.89,3.57,15.74,-2.1,45.16
1934-12-31,23.85,9.98,18.39,27.03,12.6,13.7,7.88,26.48,-2.29,40.68
1935-01-31,153.26,28.01,29.24,82.73,41.06,15.85,20.76,73.96,-2.07,58.82
1935-02-28,5.78,13.25,21.33,12.97,-10.4,-6.73,-8.82,21.96,-2.5,28.39
1935-03-31,90.54,18.01,25.44,35.78,26.96,-0.18,12.62,50.41,-0.96,56.91
1935-04-30,58.63,24.59,33.43,91.17,66.79,116.99,69.54,86.51,3.38,89.83
1935-05-31,-52.6,13.9,24.32,23.1,9.74,44.16,13.5,43.72,10.89,59.3
1935-06-30,-43.3,-4.37,19.07,-5.8,-3.11,0.86,10.32,31.85,16.64,58.43
1935-07-31,-33.43,-3.8,11.64,-45.68,-58.28,-79.32,-48.62,-6.44,24.5,30.72
1935-08-31,-14.61,4.94,14.02,-25.88,-30.3,-40.36,-25.81,0.83,27.2,37.18
1935-09-30,-0.58,12.1,18.46,2.87,-12.84,-17.74,-9.14,12.86,-1.38,27.91
1935-10-31,8.56,12.42,20.4,9.46,-3.32,-4.69,-2.61,10.08,1.41,29.32
1935-11-30,8.28,10.12,17.52,13.01,-7.25,-4.81,-4.99,5.75,-0.65,25.08
1935-12-31,18.28,13.72,19.08,16.05,-2.39,0.51,3.63,4.59,-1.11,26.48
1936-01-31,143.46,33.2,32.85,65.18,9.02,11.45,2.95,14.63,-1.47,25.99
1936-02-29,200.49,29.42,55.63,167.19,144.05,94.34,77.8,188.27,3.62,206.89
1936-03-31,-83.83,12.73,30.36,-0.43,-46.01,11.05,-13.46,2.14,2.34,25.62
1936-04-30,-29.49,14.64,37.44,22.56,13.95,21.98,7.66,33.45,5.06,60.55
1936-05-31,-38.49,2.9,23.17,16.25,14.6,27.9,19.65,38.69,12.87,59.99
1936-06-30,-30.48,1.69,24.48,-13.42,-24.49,-23.58,-10.51,10.14,16.62,39.53
1936-07-31,-30.56,0.43,16.41,-35.37,-31.59,-62.42,-33.24,6.48,28.42,33.8
1936-08-31,-18.04,6.62,18.08,-18.65,-16.06,-37.76,-24.22,2.41,28.2,34.19
1936-09-30,-1.77,13.95,22.61,5.97,-9.12,-17.02,-10.34,14.26,-0.5,25.85
1936-10-31,3.53,12.86,22.77,8.68,-2.35,-6.7,-0.95,6.93,1.55,32.32
1936-11-30,5.52,11.45,19.05,10.03,-4.63,-1.56,-4.6,5.75,-0.87,26.24
1936-12-31,20.58,12.68,23.27,27.3,27,12.18,17.53,23.69,0.69,87.33
1937-01-31,28.35,13.3,25.85,31.27,2.53,1.7,-0.66,11.8,-0.77,28.99
1937-02-28,155.46,32.03,43.59,107.39,91.92,47.43,44.05,142.38,3.31,138.44
1937-03-31,85.3,27.02,48.32,75.81,7.21,28.61,17.22,49.3,4.08,78.81
1937-04-30,-20.34,25.03,36.95,17.15,-12.36,22.43,2.6,26.11,6.9,38.2
1937-05-31,-30.03,10.21,26.56,47.63,69.79,69.37,52.09,75.67,19.1,127.56
1937-06-30,-34.31,-0.96,22.65,-17.44,-22.72,-47.33,-28.65,10.91,22.25,30.61
1937-07-31,-30.91,-0.24,18.32,-38.34,-41,-66.71,-45.13,-5.61,22.66,5.34
1937-08-31,-20.61,5.92,19.27,-21.9,-7.07,-34.02,-25.04,-4.61,25.67,15.48
1937-09-30,-9.67,12.65,23.31,3.99,-11.81,-12.84,-7.83,12.39,1.18,14.2
1937-10-31,10.56,19.6,26.47,11.38,-17.48,-7.42,-1.06,-0.37,3.34,17.89
1937-11-30,98.81,31.58,28.44,28.67,-3.35,-1.34,-3.4,4.52,1.46,18.43
1937-12-31,167.39,31.09,33.11,75.7,70.62,43.63,30.51,61.7,4.54,109.1
1938-01-31,-27.18,17.42,29.86,42.42,-1.56,5.62,5.12,17.98,3,32.93
1938-02-28,281.39,34.15,59.49,161.82,102.76,88.07,83.99,161.02,5.03,128.66
1938-03-31,-31.8,20.81,59.13,80.44,96.81,48,63.81,187.76,17.49,286.69
1938-04-30,-65.61,26.42,48.81,9.26,-57.14,2.59,-24.7,9.5,11.47,61.43
1938-05-31,-38.79,25.63,38.03,30.46,32.87,49.47,24.91,53.19,27.23,124.79
1938-06-30,-52.14,5.3,32.38,4.55,30.63,14.08,39,52.15,43.5,187.2
1938-07-31,-51.42,-6.65,21.64,-43.23,-74.64,-99.84,-71.23,-11.79,26.92,-5.54
1938-08-31,-26.67,2.96,21.36,-39,-59.79,-67.52,-47.07,-20.69,25.48,-6.48
1938-09-30,-6.84,12.42,26.05,-12.27,-31.79,-28.89,-16.88,-3.01,6.4,-4.4
1938-10-31,4.78,15.05,28.14,1.12,-29.87,-9.24,-12.15,-11.52,6.44,2.27
1938-11-30,6.06,12.19,25.05,12.62,-0.78,3.55,-0.82,11.78,4.9,4.94
1938-12-31,12.36,12.43,24.6,12.02,2.4,-6.52,-6.73,7.88,4.07,13.61
1939-01-31,17.84,10.54,23.78,17.78,11.58,2.01,-0.32,9.22,3.88,19.21
1939-02-28,9.27,9.95,23.48,12.43,4.94,-13.86,-3.57,10.78,3.58,25.73
1939-03-31,27.26,19.61,27.18,20.43,19.06,-8.28,-5.63,25.8,6,43.4
1939-04-30,-6.85,4.49,16.07,9.17,9.06,15.92,0.97,30.32,6.84,38.28
1939-05-31,-10.03,1.36,16.63,0.91,-11.39,-6.04,-3.35,16.65,8.98,35.64
1939-06-30,-9.91,3.98,15.93,-6.35,-0.58,-14.93,-8.02,8.76,10.86,28.13
1939-07-31,-1.18,10.13,19.6,-2.62,17.23,-6.86,-2.56,14.59,19.84,29.49
1939-08-31,6.19,13.46,17.65,2.46,20.69,-3.18,-3.38,15.43,23.53,28.53
1939-09-30,15.13,18.72,24.48,18.71,1.08,-4.27,-3.19,14.45,1.41,21.56
1939-10-31,18.74,17.08,24.2,12.83,-2.29,-3.23,-3.49,13.51,3.47,24.93
1939-11-30,14.8,13.59,20.83,13.54,-1.68,-2.99,-3.7,6.61,1.88,18.82
1939-12-31,26.84,19.38,21.29,16.7,-1.1,-0.61,-3.96,5.26,1.34,18.85
1940-01-31,205.25,50.91,43.2,113.28,106.74,48.6,43.15,112.3,5.66,165.68
1940-02-29,203.15,49.88,45.71,110.32,22.03,55.74,31.8,61.67,5.15,117.24
1940-03-31,88.18,-0.9,35.05,41.25,-0.12,43.69,17.78,36.37,9.39,55.65
1940-04-30,-85.83,-4.45,34.05,8.88,1.92,-1.58,-3.16,33.62,6.43,32.53
1940-05-31,-91.68,11.6,27.5,17.36,30.42,20.28,16.26,56.2,15.47,73.78
1940-06-30,-52.54,-0.3,22.1,-21.05,-15.9,-36.28,-11.47,16.86,19.35,17.69
1940-07-31,-33.07,3.92,19.22,-38.43,-40.15,-62.08,-37.99,-9.51,26.57,13.88
1940-08-31,-14.83,9.92,20.93,-16.9,-5.65,-28.45,-18.74,5.29,29.73,21.89
1940-09-30,1.03,17.52,25.03,7.85,-8.19,-7.76,-2.63,16.72,1.68,18.11
1940-10-31,10.73,19.14,27.21,12.7,-2.77,-7.1,-5.4,10.45,6.42,28.75
1940-11-30,13.58,15.92,23.97,13.65,-2.18,1.3,-3.65,7.86,2.39,13.57
1940-12-31,234.11,45.58,40.56,107.32,93.67,26.5,41.56,92.78,6.03,128.43
1941-01-31,195.01,34.9,36.68,82.95,-10.48,6.05,-4.55,28.65,5.12,32.64
1941-02-28,126.72,36.18,46.9,111.45,81.24,38.75,36.7,145.81,6.43,155.19
1941-03-31,18.57,16.25,39.01,38.64,4.01,42.31,20.4,53.75,6.81,76.75
1941-04-30,-79.38,21.09,35.95,17.49,2.96,8.82,1.99,42.28,8.27,83.94
1941-05-31,-71.17,24.57,36.87,35.26,67,62.93,40.6,84.97,20.19,123.84
1941-06-30,-59.13,-1.62,24.72,-2.21,14.06,-8.04,16.58,41.79,27.41,42.05
1941-07-31,-40.85,2.6,20.44,-38.47,-58.58,-71.35,-51.05,-4.03,27.62,8.55
1941-08-31,-22.3,7.64,20.45,-31.54,-47.34,-46.31,-33.09,-14.43,30.54,-1.64
1941-09-30,-5.93,15.7,25.18,-4.76,-24.83,-22.9,-17.62,7.18,4.79,-0.5
1941-10-31,5.49,17.38,26.89,5.66,-12.35,-8.58,-5.99,5.95,7.54,8.06
1941-11-30,12.41,16.08,25.57,9.59,-11.3,-5.14,-6.64,3.31,4.19,7.95
1941-12-31,180.07,54.14,41.52,79.57,60.93,31.78,29.4,64.69,7.2,109.52
1942-01-31,128.53,27.59,47.06,93.06,8.86,20.41,5.79,34.36,6.67,44.27
1942-02-28,157.45,13.8,40.12,40.17,1,18.05,-7.2,28.89,6.47,15.91
1942-03-31,-103.88,17.14,33.62,2.73,13.42,-4.67,5.55,32.44,7.84,32.74
